"","x"
"175",-31163.2688694438
"176",32767
"177",-31163.2688694432
"178",26509.0598546843
"179",-19259.9593618656
"180",10125.5598546824
"181",8.35256574950767e-10
"182",-10125.559854684
"183",19259.9593618669
"184",-26509.0598546852
"185",31163.2688694438
"186",-32767
"187",31163.2688694433
"188",-26509.0598546822
"189",19259.9593618657
"190",-10125.5598546825
"191",-6.74705461802243e-10
"192",10125.5598546874
"193",-19259.9593618668
"194",26509.059854683
"195",-31163.2688694437
"196",32767
"197",-31163.2688694433
"198",26509.0598546844
"199",-19259.9593618658
"200",10125.5598546827
"201",5.1415434865372e-10
"202",-10125.5598546872
"203",19259.9593618667
"204",-26509.0598546851
"205",31163.2688694437
"206",-32767
"207",31163.2688694434
"208",-26509.0598546845
"209",19259.9593618659
"210",-10125.5598546864
"211",-3.53603235505196e-10
"212",10125.5598546835
"213",-19259.9593618695
"214",26509.0598546828
"215",-31163.2688694436
"216",32767
"217",-31163.2688694423
"218",26509.0598546846
"219",-19259.9593618661
"220",10125.559854683
"221",3.91822873398086e-09
"222",-10125.5598546834
"223",19259.9593618694
"224",-26509.0598546849
"225",31163.2688694447
"226",-32767
"227",31163.2688694423
"228",-26509.0598546825
"229",19259.9593618662
"230",-10125.5598546831
"231",-3.75767762083234e-09
"232",10125.5598546868
"233",-19259.9593618663
"234",26509.0598546848
"235",-31163.2688694435
"236",32767
"237",-31163.2688694435
"238",26509.0598546826
"239",-19259.9593618694
"240",10125.5598546833
"241",-1.28050103940375e-10
"242",-10125.5598546866
"243",19259.9593618661
"244",-26509.0598546847
"245",31163.2688694435
"246",-32767
"247",31163.2688694436
"248",-26509.0598546827
"249",19259.9593618665
"250",-10125.5598546799
"251",2.88601217088898e-10
"252",10125.5598546864
"253",-19259.959361869
"254",26509.0598546868
"255",-31163.2688694434
"256",32767
"257",-31163.2688694425
"258",26509.059854685
"259",-19259.9593618666
"260",10125.5598546836
"261",3.27602428138677e-09
"262",-10125.5598546828
"263",19259.9593618689
"264",-26509.0598546845
"265",31163.2688694434
"266",-32767
"267",31163.2688694425
"268",-26509.0598546829
"269",19259.9593618667
"270",-10125.5598546838
"271",-3.11547316823825e-09
"272",10125.5598546826
"273",-19259.9593618688
"274",26509.0598546844
"275",-31163.2688694445
"276",32767
"277",-31163.2688694426
"278",26509.059854683
"279",-19259.9593618638
"280",10125.5598546839
"281",2.95492205508972e-09
"282",-10125.559854686
"283",19259.9593618656
"284",-26509.0598546843
"285",31163.2688694433
"286",-32767
"287",31163.2688694438
"288",-26509.0598546831
"289",19259.959361867
"290",-10125.5598546805
"291",9.30805669682993e-10
"292",10125.5598546858
"293",-19259.9593618685
"294",26509.0598546864
"295",-31163.2688694432
"296",32767
"297",-31163.2688694427
"298",26509.0598546832
"299",-19259.9593618641
"300",10125.5598546842
"301",2.63381982879268e-09
"302",-10125.5598546892
"303",19259.9593618684
"304",-26509.0598546863
"305",31163.2688694432
"306",-32767
"307",31163.2688694439
"308",-26509.0598546833
"309",19259.9593618642
"310",-10125.5598546844
"311",-2.47326871564415e-09
"312",10125.559854682
"313",-19259.9593618682
"314",26509.0598546818
"315",-31163.2688694431
"316",32767
"317",-31163.2688694416
"318",26509.0598546834
"319",-19259.9593618644
"320",10125.5598546845
"321",2.31271760249563e-09
"322",-10125.5598546818
"323",19259.9593618681
"324",-26509.0598546861
"325",31163.2688694454
"326",-32767
"327",31163.2688694417
"328",-26509.0598546835
"329",19259.9593618645
"330",-10125.5598546847
"331",-2.1521664893471e-09
"332",10125.5598546888
"333",-19259.959361868
"334",26509.059854686
"335",-31163.268869443
"336",32767
"337",-31163.268869444
"338",26509.0598546836
"339",-19259.9593618706
"340",10125.5598546848
"341",1.99161537619858e-09
"342",-10125.5598546886
"343",19259.9593618678
"344",-26509.0598546859
"345",31163.268869443
"346",-32767
"347",31163.2688694441
"348",-26509.0598546837
"349",19259.9593618648
"350",-10125.5598546779
"351",-1.83106426305006e-09
"352",10125.5598546885
"353",-19259.9593618677
"354",26509.0598546858
"355",-31163.2688694429
"356",32767
"357",-31163.2688694418
"358",26509.0598546794
"359",-19259.9593618649
"360",10125.5598546851
"361",1.67051314990153e-09
"362",-10125.5598546812
"363",19259.9593618676
"364",-26509.0598546857
"365",31163.2688694429
"366",-32767
"367",31163.2688694419
"368",-26509.0598546839
"369",19259.959361865
"370",-10125.5598546853
"371",-1.50996203675301e-09
"372",10125.5598546811
"373",-19259.9593618675
"374",26509.0598546856
"375",-31163.2688694451
"376",32767
"377",-31163.2688694419
"378",26509.059854684
"379",-19259.9593618651
"380",10125.5598546854
"381",1.34941092360449e-09
"382",-10125.559854688
"383",19259.9593618734
"384",-26509.0598546855
"385",31163.2688694428
"386",-32767
"387",31163.2688694443
"388",-26509.0598546841
"389",19259.9593618653
"390",-10125.5598546785
"391",-1.18885981045596e-09
"392",10125.5598546879
"393",-19259.9593618672
"394",26509.0598546854
"395",-31163.2688694427
"396",32767
"397",-31163.268869442
"398",26509.0598546841
"399",-19259.9593618654
"400",10125.5598546787
"401",1.02830869730744e-09
"402",-10125.5598546806
"403",19259.9593618731
"404",-26509.0598546854
"405",31163.2688694427
"406",-32767
"407",31163.2688694421
"408",-26509.0598546799
"409",19259.9593618655
"410",-10125.5598546859
"411",6.58259563908947e-09
"412",10125.5598546875
"413",-19259.9593618669
"414",26509.0598546853
"415",-31163.2688694426
"416",32767
"417",-31163.2688694421
"418",26509.0598546843
"419",-19259.9593618717
"420",10125.559854679
"421",7.07206471010392e-10
